event_pk,date,survey,site_id,acidity,alkh,ph,s,so4,mg,zn,na,al,ca,cl,fe,b,f,k,si,cu,sr,acidity_flag,alkh_flag,ph_flag,s_flag,so4_flag,mg_flag,zn_flag,na_flag,al_flag,ca_flag,cl_flag,fe_flag,b_flag,f_flag,k_flag,si_flag,cu_flag,sr_flag,row_flag,quality_level
3670,2013-04-23,FGS,708 OUTLET,4.57,0.47,NA,159,550,210,NA,1871,165,357,2689,154,NA,9,104,534,NA,3,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,AV,AV,AV,BDL,AV,Results,Principal Investigator
3669,2013-04-23,FGS,703 OUTLET,2.68,2.77,NA,124,500,185,NA,1558,106,454,2012,127,NA,10,107,1036,NA,3,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,AV,AV,AV,BDL,AV,Results,Principal Investigator
3667,2013-04-23,FGS,844 OUTLET,6.58,-2.46,NA,127,541,229,NA,2285,281,413,2815,281,NA,10,98,1345,NA,3,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,AV,AV,AV,BDL,AV,Results,Principal Investigator
3665,2013-04-23,FGS,626 OUTLET,4.63,1.71,NA,146,451,274,NA,2593,126,399,3451,334,NA,15,109,723,NA,5,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,AV,AV,AV,BDL,AV,Results,Principal Investigator
3668,2013-04-23,FGS,693 OUTLET,5.31,-0.76,NA,103,480,134,NA,1212,128,237,1456,101,NA,10,79,414,NA,2,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,AV,AV,AV,BDL,AV,Results,Principal Investigator
3666,2013-04-23,FGS,819 OUTLET,6.49,3.98,NA,127,426,248,NA,2435,252,398,3228,377,NA,9,108,1268,NA,3,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,AV,AV,AV,BDL,AV,Results,Principal Investigator
3674,2013-05-09,FGS,703 OUTLET,2.37,0.89,6.25,149,334,143,NA,1199,93,350,1487,94,NA,26,100,687,NA,3,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,AV,AV,AV,BDL,AV,Results,Principal Investigator
3676,2013-05-09,FGS,626 OUTLET,4.09,1.98,5.93,207,347,339,NA,3080,151,521,3922,436,NA,31,148,927,NA,7,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,AV,AV,AV,BDL,AV,Results,Principal Investigator
3673,2013-05-09,FGS,693 OUTLET,4.66,-0.5,5.28,137,327,144,NA,1260,148,257,1712,92,NA,18,73,414,NA,2,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,AV,AV,AV,BDL,AV,Results,Principal Investigator
3676,2013-05-09,FGS,626 OUTLET,4.53,0.78,5.87,216,350,340,NA,3085,156,521,3856,429,NA,20,147,933,NA,7,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,AV,AV,AV,BDL,AV,Results,Principal Investigator
3675,2013-05-09,FGS,708 OUTLET,4.34,-0.83,5.32,184,390,218,NA,1952,176,379,2838,170,NA,28,112,489,NA,3,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,AV,AV,AV,BDL,AV,Results,Principal Investigator
3671,2013-05-09,FGS,819 OUTLET,6.86,NA,4.92,167,308,241,NA,2639,282,381,3529,388,NA,28,112,1587,NA,4,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,AV,AV,AV,BDL,AV,Results,Principal Investigator
3672,2013-05-09,FGS,844 OUTLET,8.32,-0.88,4.92,170,706,222,NA,2428,301,401,3122,282,NA,27,91,1582,NA,3,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,AV,AV,AV,BDL,AV,Results,Principal Investigator
3684,2013-05-17,FGS,1015 OUTLET,4.81,0.52,5.46,129,667,160,NA,1287,166,286,4609,119,NA,NA,70,439,NA,2,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,NA,AV,AV,BDL,AV,Results,Principal Investigator
3682,2013-05-17,FGS,844 OUTLET,6.87,-0.61,4.93,119,388,262,NA,2291,383,450,3071,351,NA,12,65,1186,NA,4,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,AV,AV,AV,BDL,AV,Results,Principal Investigator
3681,2013-05-17,FGS,693 OUTLET,3.98,0.1,5.12,NA,389,NA,NA,NA,NA,NA,1820,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,AV,NA,NA,NA,NA,NA,AV,NA,NA,AV,NA,NA,NA,NA,Results,Principal Investigator
3680,2013-05-17,FGS,703 OUTLET,2.85,1.66,5.57,126,433,180,NA,1423,158,422,1920,176,NA,13,92,851,NA,3,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,AV,AV,AV,BDL,AV,Results,Principal Investigator
3678,2013-05-17,FGS,626 OUTLET,4.59,0.43,5.31,171,369,297,NA,2580,160,408,4073,398,NA,14,99,599,NA,5,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,AV,AV,AV,BDL,AV,Results,Principal Investigator
3683,2013-05-17,FGS,819 OUTLET,6.82,-0.69,4.82,163,1467,287,NA,2509,360,454,3470,480,NA,16,74,1200,NA,4,NA,NA,NA,AV,SVC,AV,BDL,AV,AV,AV,AV,AV,BDL,AV,AV,AV,BDL,AV,Results,Principal Investigator
3679,2013-05-17,FGS,708 OUTLET,4.23,0.58,5.1,169,479,231,NA,1934,186,400,2922,179,NA,13,96,552,NA,3,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,AV,AV,AV,BDL,AV,Results,Principal Investigator
3687,2013-05-28,FGS,703 OUTLET,2.64,1.8,5.74,127,332,194,NA,1554,118,482,1589,158,4,33,119,1237,NA,3,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,AV,AV,AV,AV,BDL,AV,Results,Principal Investigator
3691,2013-05-28,FGS,1015 OUTLET,4.18,0.85,5.63,257,580,409,NA,3123,284,749,3431,322,NA,32,173,957,NA,6,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,AV,AV,AV,BDL,AV,Results,Principal Investigator
3691,2013-05-28,FGS,1015 OUTLET,4.05,0.98,5.49,268,848,415,NA,3150,278,749,3468,309,NA,NA,182,942,NA,6,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,NA,AV,AV,BDL,AV,Results,Principal Investigator
3691,2013-05-28,FGS,1015 OUTLET,3.91,1.26,5.76,280,581,411,NA,3120,292,748,3439,321,NA,31,174,948,NA,6,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,AV,AV,AV,BDL,AV,Results,Principal Investigator
3689,2013-05-28,FGS,844 OUTLET,5.45,0.05,5.74,132,158,235,NA,2374,345,444,2493,325,NA,33,66,1601,NA,4,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,AV,AV,AV,BDL,AV,Results,Principal Investigator
3691,2013-05-28,FGS,1015 OUTLET,4.39,-0.5,5.77,268,589,408,NA,3089,282,745,3423,319,NA,24,169,947,NA,5,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,AV,AV,AV,BDL,AV,Results,Principal Investigator
3685,2013-05-28,FGS,626 OUTLET,5.01,2.26,5.78,216,283,357,NA,3057,161,567,3002,518,NA,36,137,1028,NA,7,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,AV,AV,AV,BDL,AV,Results,Principal Investigator
3686,2013-05-28,FGS,708 OUTLET,4.26,0.47,5.35,177,328,237,NA,1996,189,419,2461,222,NA,34,98,549,NA,3,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,AV,AV,AV,BDL,AV,Results,Principal Investigator
3690,2013-05-28,FGS,819 OUTLET,5.68,-0.54,5.12,163,170,247,NA,2561,326,408,2832,455,NA,38,88,1553,NA,4,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,AV,AV,AV,BDL,AV,Results,Principal Investigator
3688,2013-05-28,FGS,693 OUTLET,3.66,0.25,5.58,133,201,167,NA,1326,172,302,1504,109,NA,27,64,453,NA,2,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,AV,AV,AV,BDL,AV,Results,Principal Investigator
3698,2013-06-11,FGS,693 OUTLET,3.84,0.25,5.5,138,314,163,NA,1347,207,320,1271,92,NA,NA,61,455,NA,NA,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,BDL,AV,AV,BDL,BDL,Results,Principal Investigator
3700,2013-06-11,FGS,819 OUTLET,8.01,-0.87,4.82,147,168,310,NA,2496,424,528,2629,562,4,NA,55,1379,NA,2,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,AV,BDL,AV,AV,BDL,AV,Results,Principal Investigator
3699,2013-06-11,FGS,844 OUTLET,7.39,-0.37,4.82,149,149,284,NA,2264,462,543,2278,424,3,NA,55,1379,NA,4,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,AV,BDL,AV,AV,BDL,AV,Results,Principal Investigator
3697,2013-06-11,FGS,703 OUTLET,3.23,1.49,5.43,149,337,203,NA,1494,213,535,1461,207,NA,NA,99,1000,NA,3,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,BDL,AV,AV,BDL,AV,Results,Principal Investigator
3702,2013-06-11,FGS,1015 OUTLET,4.53,0.85,5.32,246,624,378,NA,2848,319,753,3654,270,2,NA,149,1033,NA,3,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,AV,BDL,AV,AV,BDL,AV,Results,Principal Investigator
3696,2013-06-11,FGS,708 OUTLET,4.18,0.43,5.41,188,408,238,NA,2043,225,454,2358,214,NA,NA,96,580,NA,1,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,BDL,AV,AV,BDL,AV,Results,Principal Investigator
3700,2013-06-11,FGS,819 OUTLET,7.56,-0.68,4.88,162,171,298,NA,2401,418,507,2604,549,3,NA,46,1375,NA,2,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,AV,BDL,AV,AV,BDL,AV,Results,Principal Investigator
3695,2013-06-11,FGS,626 OUTLET,5.12,0.84,5.27,209,263,314,NA,2751,207,482,2909,460,3,NA,84,814,NA,4,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,AV,BDL,AV,AV,BDL,AV,Results,Principal Investigator
3702,2013-06-11,FGS,1015 OUTLET,4.59,-2.4,5.47,275,620,339,NA,2579,291,691,3764,224,NA,NA,120,1008,NA,3,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,BDL,AV,AV,BDL,AV,Results,Principal Investigator
3707,2013-06-25,FGS,844 OUTLET,6.89,-0.34,5.07,149,110,278,NA,2277,451,571,2537,459,4,NA,67,1551,NA,4,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,AV,BDL,AV,AV,BDL,AV,Results,Principal Investigator
3704,2013-06-25,FGS,626 OUTLET,5.8,2.15,5.64,223,211,452,NA,3347,245,855,3909,801,5,21,172,1608,NA,9,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,AV,AV,AV,AV,BDL,AV,Results,Principal Investigator
3705,2013-06-25,FGS,1015 OUTLET,5.22,1.52,5.68,371,846,562,NA,4453,343,950,6737,443,4,20,215,1397,NA,6,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,AV,AV,AV,AV,BDL,AV,Results,Principal Investigator
3709,2013-06-25,FGS,703 OUTLET,2.4,1.81,5.97,137,212,219,NA,1713,222,613,1693,258,2,15,137,1274,NA,4,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,AV,AV,AV,AV,BDL,AV,Results,Principal Investigator
3708,2013-06-25,FGS,693 OUTLET,2.71,0.1,5.69,154,201,173,NA,1421,203,351,1700,89,NA,NA,79,490,NA,2,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,BDL,BDL,AV,AV,BDL,AV,Results,Principal Investigator
3706,2013-06-25,FGS,819 OUTLET,7.55,-0.34,4.98,177,96,338,NA,2541,462,620,2822,776,5,NA,73,1312,NA,5,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,AV,BDL,AV,AV,BDL,AV,Results,Principal Investigator
3709,2013-06-25,FGS,703 OUTLET,3.16,2.34,5.74,142,218,222,NA,1703,221,621,1713,266,2,NA,136,1296,NA,4,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,AV,BDL,AV,AV,BDL,AV,Results,Principal Investigator
3709,2013-06-25,FGS,703 OUTLET,2.84,1.82,5.95,151,240,221,NA,1685,225,619,1761,257,3,NA,133,1311,NA,4,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,AV,BDL,AV,AV,BDL,AV,Results,Principal Investigator
3712,2013-06-25,FGS,708 OUTLET,3.37,0.53,5.69,201,333,252,NA,2121,221,497,2852,282,3,NA,118,757,NA,4,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,AV,BDL,AV,AV,BDL,AV,Results,Principal Investigator
3719,2013-07-09,FGS,708 OUTLET,4.24,0.35,5.56,171,364,278,NA,2354,238,553,2961,348,4,13,127,551,NA,4,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,AV,AV,AV,AV,BDL,AV,Results,Principal Investigator
3716,2013-07-09,FGS,844 OUTLET,6.4,-1.16,5.12,148,195,280,NA,2843,426,535,3062,484,5,15,105,2295,NA,4,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,AV,AV,AV,AV,BDL,AV,Results,Principal Investigator
3717,2013-07-09,FGS,693 OUTLET,3.59,1.56,5.49,132,199,215,NA,1620,258,473,1649,211,3,16,76,646,NA,3,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,AV,AV,AV,AV,BDL,AV,Results,Principal Investigator
3718,2013-07-09,FGS,703 OUTLET,2.84,1.65,5.94,179,334,241,NA,1935,173,623,2211,225,3,20,162,1736,NA,4,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,AV,AV,AV,AV,BDL,AV,Results,Principal Investigator
3720,2013-07-09,FGS,626 OUTLET,4.57,0.64,6.08,161,279,463,NA,3922,213,774,3966,800,7,21,185,1615,NA,8,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,AV,AV,AV,AV,BDL,AV,Results,Principal Investigator
3713,2013-07-09,FGS,1015 OUTLET,3.66,2.12,6.04,218,557,423,NA,3237,298,851,4344,372,4,19,182,1076,NA,5,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,AV,AV,AV,AV,BDL,AV,Results,Principal Investigator
3714,2013-07-09,FGS,819 OUTLET,6.56,-3.24,5.12,144,208,327,NA,3173,438,551,3566,735,6,23,118,2413,NA,4,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,AV,AV,AV,AV,BDL,AV,Results,Principal Investigator
3714,2013-07-09,FGS,819 OUTLET,6.86,-0.99,5.01,147,211,323,NA,3167,411,565,3538,727,6,18,118,2465,NA,4,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,AV,AV,AV,AV,BDL,AV,Results,Principal Investigator
3723,2013-07-23,FGS,693 OUTLET,3.88,1.19,5.85,205,390,322,NA,2634,251,466,2980,137,7,NA,124,615,NA,4,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,AV,BDL,AV,AV,BDL,AV,Results,Principal Investigator
3725,2013-07-23,FGS,844 OUTLET,6.57,0.64,5.36,165,225,249,NA,3140,393,510,3018,465,8,NA,130,3016,NA,4,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,AV,BDL,AV,AV,BDL,AV,Results,Principal Investigator
3722,2013-07-23,FGS,703 OUTLET,3.16,2.53,5.86,154,297,297,NA,2453,137,793,2226,360,7,NA,207,2458,NA,5,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,AV,BDL,AV,AV,BDL,AV,Results,Principal Investigator
3725,2013-07-23,FGS,844 OUTLET,6.37,0.69,5.33,160,249,244,NA,3072,387,496,3066,453,6,NA,124,2954,NA,4,NA,NA,NA,AV,AV,AV,BDL,AV,AV,AV,AV,AV,AV,BDL,AV,AV,BDL,AV,Results,Principal Investigator
