event_pk,date,survey,site_id,ppm_c_doc,ppm_c_doc_flag,row_flag,quality_level
3739,2013-08-19,FGS,819 OUTLET,25.86,AV,Results,Principal Investigator
3740,2013-08-19,FGS,844 OUTLET,25.12,AV,Results,Principal Investigator
3741,2013-08-19,FGS,693 OUTLET,8.38,AV,Results,Principal Investigator
3742,2013-08-19,FGS,626 OUTLET,20.07,AV,Results,Principal Investigator
3743,2013-08-19,FGS,708 OUTLET,14.27,AV,Results,Principal Investigator
3743,2013-08-19,FGS,708 OUTLET,15.95,AV,Results,Principal Investigator
3743,2013-08-19,FGS,708 OUTLET,13.07,AV,Results,Principal Investigator
3746,2013-08-19,FGS,703 OUTLET,13.29,AV,Results,Principal Investigator
3747,2013-08-19,FGS,1015 OUTLET,10.83,AV,Results,Principal Investigator
3748,2013-09-02,FGS,819 OUTLET,18.21309075,AV,Results,Principal Investigator
3749,2013-09-02,FGS,844 OUTLET,17.26236158,AV,Results,Principal Investigator
3749,2013-09-02,FGS,844 OUTLET,17.09867377,AV,Results,Principal Investigator
3749,2013-09-02,FGS,844 OUTLET,17.1285434,AV,Results,Principal Investigator
3752,2013-09-02,FGS,693 OUTLET,11.53730781,AV,Results,Principal Investigator
3753,2013-09-02,FGS,626 OUTLET,18.18605923,AV,Results,Principal Investigator
3754,2013-09-02,FGS,708 OUTLET,9.420113346,AV,Results,Principal Investigator
3755,2013-09-02,FGS,703 OUTLET,7.6477951,AV,Results,Principal Investigator
3756,2013-09-02,FGS,1015 OUTLET,11.70176835,AV,Results,Principal Investigator
3757,2013-09-16,FGS,626 OUTLET,13.33435943,AV,Results,Principal Investigator
3758,2013-09-16,FGS,703 OUTLET,9.289721207,AV,Results,Principal Investigator
3759,2013-09-16,FGS,708 OUTLET,5.919662265,AV,Results,Principal Investigator
3760,2013-09-16,FGS,693 OUTLET,10.87713208,AV,Results,Principal Investigator
3760,2013-09-16,FGS,693 OUTLET,10.74333582,AV,Results,Principal Investigator
3760,2013-09-16,FGS,693 OUTLET,10.78706528,AV,Results,Principal Investigator
3763,2013-09-16,FGS,844 OUTLET,13.98914435,AV,Results,Principal Investigator
3764,2013-09-16,FGS,819 OUTLET,15.20221855,AV,Results,Principal Investigator
3765,2013-09-16,FGS,1015 OUTLET,11.03771814,AV,Results,Principal Investigator
3775,2013-10-16,FGS,1015 OUTLET,12.69,AV,Results,Principal Investigator
3782,2013-10-16,FGS,703 OUTLET,6.05,AV,Results,Principal Investigator
3776,2013-10-16,FGS,819 OUTLET,15.03,AV,Results,Principal Investigator
3783,2013-10-16,FGS,693 OUTLET,10.19,AV,Results,Principal Investigator
3776,2013-10-16,FGS,819 OUTLET,15.18,AV,Results,Principal Investigator
3776,2013-10-16,FGS,819 OUTLET,15.33,AV,Results,Principal Investigator
3779,2013-10-16,FGS,844 OUTLET,15.28,AV,Results,Principal Investigator
3781,2013-10-16,FGS,708 OUTLET,10.43,AV,Results,Principal Investigator
3780,2013-10-16,FGS,626 OUTLET,13.48,AV,Results,Principal Investigator
3802,2014-01-09,FGS,626 OUTLET,9.7,AV,Results,Principal Investigator
3803,2014-01-09,FGS,708 OUTLET,10.49,AV,Results,Principal Investigator
3803,2014-01-09,FGS,708 OUTLET,NA,NA,Collected,Technicianm
3803,2014-01-09,FGS,708 OUTLET,11.11,AV,Results,Principal Investigator
3806,2014-01-09,FGS,703 OUTLET,7.85,AV,Results,Principal Investigator
3807,2014-01-09,FGS,693 OUTLET,6.99,AV,Results,Principal Investigator
3808,2014-01-09,FGS,844 OUTLET,13.82,AV,Results,Principal Investigator
3809,2014-01-09,FGS,819 OUTLET,13.8,AV,Results,Principal Investigator
3802,2014-01-09,FGS,626 OUTLET,9.7,AV,Results,Principal Investigator
3803,2014-01-09,FGS,708 OUTLET,10.49,AV,Results,Principal Investigator
3803,2014-01-09,FGS,708 OUTLET,10.77,AV,Results,Principal Investigator
3803,2014-01-09,FGS,708 OUTLET,11.11,AV,Results,Principal Investigator
3806,2014-01-09,FGS,703 OUTLET,7.85,AV,Results,Principal Investigator
3807,2014-01-09,FGS,693 OUTLET,6.99,AV,Results,Principal Investigator
3808,2014-01-09,FGS,844 OUTLET,13.82,AV,Results,Principal Investigator
3809,2014-01-09,FGS,819 OUTLET,13.8,AV,Results,Principal Investigator
3817,2014-01-29,FGS,819 OUTLET,10,AV,Results,Principal Investigator
3818,2014-01-29,FGS,1015 OUTLET,12.02,AV,Results,Principal Investigator
3810,2014-01-29,FGS,693 OUTLET,5.88,AV,Results,Principal Investigator
3811,2014-01-29,FGS,703 OUTLET,4.96,AV,Results,Principal Investigator
3812,2014-01-29,FGS,708 OUTLET,9.04,AV,Results,Principal Investigator
3812,2014-01-29,FGS,708 OUTLET,8.91,AV,Results,Principal Investigator
3812,2014-01-29,FGS,708 OUTLET,9.06,AV,Results,Principal Investigator
3815,2014-01-29,FGS,626 OUTLET,8.18,AV,Results,Principal Investigator
3816,2014-01-29,FGS,844 OUTLET,10.04,AV,Results,Principal Investigator
3819,2014-02-19,FGS,1015 OUTLET,10.97,AV,Results,Principal Investigator
3820,2014-02-19,FGS,819 OUTLET,8.81,AV,Results,Principal Investigator
3821,2014-02-19,FGS,844 OUTLET,8.22,AV,Results,Principal Investigator
3822,2014-02-19,FGS,693 OUTLET,5.46,AV,Results,Principal Investigator
3823,2014-02-19,FGS,703 OUTLET,NA,NA,Not Available,Technicianm
3823,2014-02-19,FGS,703 OUTLET,4.85,AV,Results,Principal Investigator
3823,2014-02-19,FGS,703 OUTLET,NA,NA,Not Available,Technicianm
3826,2014-02-19,FGS,708 OUTLET,8.15,AV,Results,Principal Investigator
3827,2014-02-19,FGS,626 OUTLET,6.69,AV,Results,Principal Investigator
3882,2014-05-18,FGS,1015 OUTLET,9.66,AV,Results,Principal Investigator
3883,2014-05-18,FGS,819 OUTLET,13.75,AV,Results,Principal Investigator
3884,2014-05-18,FGS,844 OUTLET,13.36,AV,Results,Principal Investigator
3885,2014-05-18,FGS,693 OUTLET,6.21,AV,Results,Principal Investigator
3886,2014-05-18,FGS,703 OUTLET,4.35,AV,Results,Principal Investigator
3887,2014-05-18,FGS,708 OUTLET,7.6,AV,Results,Principal Investigator
3887,2014-05-18,FGS,708 OUTLET,8.73,AV,Results,Principal Investigator
3887,2014-05-18,FGS,708 OUTLET,7.56,AV,Results,Principal Investigator
3890,2014-05-18,FGS,626 OUTLET,11.62,AV,Results,Principal Investigator
3891,2014-05-29,FGS,1015 OUTLET,9.574361588,AV,Results,Principal Investigator
3892,2014-05-29,FGS,819 OUTLET,14.9839047,AV,Results,Principal Investigator
