event_pk,date,survey,site_id,nh4_,tp,tdp,tn,tdn,no2_no3_um,po4,sio2,nh4__flag,tp_flag,tdp_flag,tn_flag,tdn_flag,no2_no3_flag,po4_flag,sio2_flag,analyzing_lab,row_flag,quality_level
3665,4/23/2013,FGS,626 OUTLET,NA,6.1,NA,268,225.3,NA,NA,NA,"NA",AV,BDL,AV,AV,"NA","NA","NA",NRAL,Results,Principal Investigator
3666,4/23/2013,FGS,819 OUTLET,NA,NA,2.1,203.5,199.4,NA,NA,NA,"NA",BDL,AV,AV,AV,"NA","NA","NA",NRAL,Results,Principal Investigator
3667,4/23/2013,FGS,844 OUTLET,NA,NA,25.8,239.3,176.3,NA,NA,NA,"NA",BDL,SVC,AV,AV,"NA","NA","NA",NRAL,Results,Principal Investigator
3668,4/23/2013,FGS,693 OUTLET,NA,NA,NA,123.2,113.6,NA,NA,NA,"NA",BDL,BDL,AV,AV,"NA","NA","NA",NRAL,Results,Principal Investigator
3669,4/23/2013,FGS,703 OUTLET,NA,NA,17.2,81.5,81.8,NA,NA,NA,"NA",BDL,AV,AV,AV,"NA","NA","NA",NRAL,Results,Principal Investigator
3670,4/23/2013,FGS,708 OUTLET,NA,2.7,4,181.7,135.2,NA,NA,NA,"NA",AV,SVD,AV,AV,"NA","NA","NA",NRAL,Results,Principal Investigator
3671,5/9/2013,FGS,819 OUTLET,31.5,4.4,4.7,221.6,227.9,NA,NA,NA,SVC,AV,AV,AV,AV,"NA","NA","NA",NRAL,Results,Principal Investigator
3672,5/9/2013,FGS,844 OUTLET,40.8,6.9,11.2,264.4,226.9,NA,NA,NA,SVC,AV,SVD,AV,AV,"NA","NA","NA",NRAL,Results,Principal Investigator
3673,5/9/2013,FGS,693 OUTLET,NA,7.6,7.7,158.2,186.7,NA,NA,NA,BDL,AV,AV,AV,SVD,"NA","NA","NA",NRAL,Results,Principal Investigator
3674,5/9/2013,FGS,703 OUTLET,NA,4,2.3,90.3,112.8,NA,NA,NA,BDL,AV,AV,AV,SVD,"NA","NA","NA",NRAL,Results,Principal Investigator
3675,5/9/2013,FGS,708 OUTLET,28.7,NA,3.2,180,188.3,NA,NA,NA,SVC,BDL,AV,AV,AV,"NA","NA","NA",NRAL,Results,Principal Investigator
3676,5/9/2013,FGS,626 OUTLET,71.8,11.2,7.9,324.2,315.9,NA,NA,NA,SVC,AV,AV,AV,AV,"NA","NA","NA",NRAL,Results,Principal Investigator
3676,5/9/2013,FGS,626 OUTLET,NA,7.8,5.7,315.9,309.5,NA,NA,NA,BDL,AV,AV,AV,AV,"NA","NA","NA",NRAL,Results,Principal Investigator
3678,5/17/2013,FGS,626 OUTLET,43.4,10.3,8.2,267.1,311.9,NA,NA,NA,SVC,AV,AV,AV,SVD,"NA","NA","NA",NRAL,Results,Principal Investigator
3679,5/17/2013,FGS,708 OUTLET,34.8,5.5,23.8,150,195.3,NA,NA,NA,SVC,AV,SVD,AV,SVD,"NA","NA","NA",NRAL,Results,Principal Investigator
3680,5/17/2013,FGS,703 OUTLET,42.6,15.1,NA,92.6,141.1,NA,NA,NA,SVC,AV,BDL,AV,SVD,"NA","NA","NA",NRAL,Results,Principal Investigator
3681,5/17/2013,FGS,693 OUTLET,42.1,7.3,16.1,131,174.5,NA,NA,NA,SVC,AV,SVD,AV,SVD,"NA","NA","NA",NRAL,Results,Principal Investigator
3682,5/17/2013,FGS,844 OUTLET,40.7,3.5,9.7,231,256,NA,NA,NA,SVC,AV,SVD,AV,AV,"NA","NA","NA",NRAL,Results,Principal Investigator
3683,5/17/2013,FGS,819 OUTLET,47.4,8.8,2277.7,237.5,314.5,NA,NA,NA,SVC,AV,SVD,AV,SVD,"NA","NA","NA",NRAL,Results,Principal Investigator
3684,5/17/2013,FGS,1015 OUTLET,NA,47.8,19.3,199.8,204.7,NA,NA,NA,BDL,SVC,AV,AV,AV,"NA","NA","NA",NRAL,Results,Principal Investigator
3685,5/28/2013,FGS,626 OUTLET,NA,9.1,2.5,328.9,579.2,NA,NA,NA,BDL,AV,AV,AV,SVD,"NA","NA","NA",NRAL,Results,Principal Investigator
3686,5/28/2013,FGS,708 OUTLET,NA,7.5,NA,232,230.2,NA,NA,NA,BDL,AV,BDL,AV,AV,"NA","NA","NA",NRAL,Results,Principal Investigator
3687,5/28/2013,FGS,703 OUTLET,46.6,15.4,3065.8,166.8,201.2,NA,NA,NA,SVC,AV,SVD,AV,SVD,"NA","NA","NA",NRAL,Results,Principal Investigator
3688,5/28/2013,FGS,693 OUTLET,42,5.5,6.1,222.1,199,NA,NA,NA,SVC,AV,AV,AV,AV,"NA","NA","NA",NRAL,Results,Principal Investigator
3689,5/28/2013,FGS,844 OUTLET,NA,6.5,8.5,274.1,253.6,NA,NA,NA,BDL,AV,SVD,AV,AV,"NA","NA","NA",NRAL,Results,Principal Investigator
3690,5/28/2013,FGS,819 OUTLET,NA,7.2,NA,272.8,257.6,NA,NA,NA,BDL,AV,BDL,AV,AV,"NA","NA","NA",NRAL,Results,Principal Investigator
