event_pk,date,survey,site_id,delta_o18,delta_o18_flag,delta_h2,delta_h2_flag,row_flag,quality_level
142,2015-01-22,FGS,703 OUTLET,-11.37,NA,-81.03,NA,Results,Technicianm
144,2015-01-22,FGS,708 OUTLET,-9.49,NA,-70.88,NA,Results,Technicianm
145,2015-01-22,FGS,626 OUTLET,-10.88,NA,-79.93,NA,Results,Technicianm
145,2015-01-22,FGS,626 OUTLET,-10.69,NA,-78.61,NA,Results,Technicianm
145,2015-01-22,FGS,626 OUTLET,-10.57,NA,-78.22,NA,Results,Technicianm
140,2015-01-22,FGS,693 OUTLET,-10.84,NA,-77.01,NA,Results,Technicianm
141,2015-01-22,FGS,844 OUTLET,-11.15,NA,-79.89,NA,Results,Technicianm
143,2015-01-22,FGS,819 OUTLET,-10.97,NA,-79.19,NA,Results,Technicianm
148,2015-01-22,FGS,1015 OUTLET,-9.23,NA,-65.8,NA,Results,Technicianm
252,2015-02-24,FGS,703 OUTLET,-8.83,NA,-67.84,NA,Results,Technicianm
253,2015-02-24,FGS,708 OUTLET,-4.83,NA,-57.72,NA,Results,Technicianm
254,2015-02-24,FGS,626 OUTLET,-8.41,NA,-60.24,NA,Results,Technicianm
247,2015-02-24,FGS,693 OUTLET,-9.08,NA,-69.94,NA,Results,Technicianm
248,2015-02-24,FGS,844 OUTLET,-8.3,NA,-65.69,NA,Results,Technicianm
249,2015-02-24,FGS,819 OUTLET,-9.07,NA,-66.86,NA,Results,Technicianm
246,2015-02-24,FGS,1015 OUTLET,-8.55,NA,-64.8,NA,Results,Technicianm
249,2015-02-24,FGS,819 OUTLET,-8.62,NA,-65.67,NA,Results,Technicianm
249,2015-02-24,FGS,819 OUTLET,-6.44,NA,-60.53,NA,Results,Technicianm
365,2015-03-11,FGS,626 OUTLET,NA,NA,NA,NA,Not Available,Technicianm
366,2015-03-11,FGS,693 OUTLET,-9.85,NA,-72.96,NA,Results,Technicianm
367,2015-03-11,FGS,844 OUTLET,-9.67,NA,-69.87,NA,Results,Technicianm
368,2015-03-11,FGS,819 OUTLET,-9.38,NA,-67.98,NA,Results,Technicianm
369,2015-03-11,FGS,1015 OUTLET,-9.14,NA,-66.8,NA,Results,Technicianm
363,2015-03-11,FGS,703 OUTLET,-9.26,NA,-65.91,NA,Results,Technicianm
364,2015-03-11,FGS,708 OUTLET,-8.95,NA,-66.06,NA,Results,Technicianm
667,2015-04-01,FGS,626 OUTLET,-8.91,NA,-64.53,NA,Results,Technicianm
662,2015-04-01,FGS,693 OUTLET,-9.8,NA,-71.14,NA,Results,Technicianm
663,2015-04-01,FGS,703 OUTLET,-9.78,NA,-69.13,NA,Results,Technicianm
664,2015-04-01,FGS,708 OUTLET,-9.2,NA,-67.31,NA,Results,Technicianm
669,2015-04-01,FGS,819 OUTLET,-9.57,NA,-67.76,NA,Results,Technicianm
668,2015-04-01,FGS,844 OUTLET,-9.82,NA,-69.86,NA,Results,Technicianm
670,2015-04-01,FGS,1015 OUTLET,-9.5,NA,-68.31,NA,Results,Technicianm
1018,2015-04-23,FGS,626 OUTLET,-9.22,NA,-64.07,NA,Results,Technicianm
1027,2015-04-24,FGS,626 OUTLET,-8.64,NA,-62.04,NA,Results,Technicianm
1028,2015-04-24,FGS,693 OUTLET,-10.16,NA,-71.66,NA,Results,Technicianm
1029,2015-04-24,FGS,703 OUTLET,-9.39,NA,-64.93,NA,Results,Technicianm
1031,2015-04-24,FGS,819 OUTLET,-9.13,NA,-64.22,NA,Results,Technicianm
1032,2015-04-24,FGS,844 OUTLET,-9.41,NA,-65.65,NA,Results,Technicianm
1033,2015-04-24,FGS,1015 OUTLET,-9.44,NA,-67.89,NA,Results,Technicianm
1030,2015-04-24,FGS,708 OUTLET,-9.25,NA,-67.7,NA,Results,Technicianm
1281,2015-05-13,FGS,626 OUTLET,-7.27,NA,-54.51,NA,Results,Technicianm
1282,2015-05-13,FGS,693 OUTLET,-8.85,NA,-62.89,NA,Results,Technicianm
1280,2015-05-13,FGS,844 OUTLET,-8.49,NA,-60.74,NA,Results,Technicianm
1279,2015-05-13,FGS,1015 OUTLET,-8.42,NA,-62.35,NA,Results,Technicianm
1278,2015-05-13,FGS,708 OUTLET,-8.35,NA,-61.84,NA,Results,Technicianm
1277,2015-05-13,FGS,703 OUTLET,-8.79,NA,-62.11,NA,Results,Technicianm
