event_pk,date,survey,site_id,acidified,hakai_id,ug_n,ug_c,c_flag,n_flag,row_flag,quality_level
3722,2013-07-23,FGS,703 OUTLET,TRUE,CF1400,18.2505146387545,305.474384005757,NA,SVC,Results,Technicianmr
3722,2013-07-23,FGS,703 OUTLET,FALSE,CF1401,9.58861622163986,134.064490494464,AV,SVD,Results,Principal Investigator
3721,2013-07-23,FGS,708 OUTLET,FALSE,CF1402,22.0403372751307,324.682768707496,AV,NA,Results,Principal Investigator
3721,2013-07-23,FGS,708 OUTLET,TRUE,CF1403,45.8020116352818,599.52727369936,NA,NA,Results,Technicianmr
3725,2013-07-23,FGS,844 OUTLET,FALSE,CF1425,16.5965504930988,225.37176767154,AV,SVC,Results,Principal Investigator
3725,2013-07-23,FGS,844 OUTLET,TRUE,CF1426,33.131973536216,472.922055490618,NA,NA,Results,Technicianmr
3728,2013-07-23,FGS,819 OUTLET,FALSE,CF1427,15.0996211804647,208.847957248954,AV,SVC,Results,Principal Investigator
3728,2013-07-23,FGS,819 OUTLET,TRUE,CF1428,29.8013702574906,430.101754907926,NA,NA,Results,Technicianmr
3727,2013-07-23,FGS,1015 OUTLET,FALSE,CF1429,12.9223557393562,202.236281914373,AV,SVC,Results,Principal Investigator
3727,2013-07-23,FGS,1015 OUTLET,TRUE,CF1430,22.086785007773,348.66480833577,AV,NA,Results,Technicianmr
3724,2013-07-23,FGS,626 OUTLET,FALSE,CF1431,18.4337570761434,290.730606349963,AV,SVC,Results,Principal Investigator
3724,2013-07-23,FGS,626 OUTLET,TRUE,CF1432,38.0304199819552,344.504653729072,NA,NA,Results,Technicianmr
3723,2013-07-23,FGS,693 OUTLET,NA,CM700,NA,NA,NA,NA,Not Available,Technicianm
3723,2013-07-23,FGS,693 OUTLET,NA,CM701,NA,NA,NA,NA,Not Available,Technicianm
3730,2013-08-05,FGS,1015 OUTLET,TRUE,CX5577,48.4589505409711,790.160480565204,SVC,NA,Results,Technicianmr
3730,2013-08-05,FGS,1015 OUTLET,FALSE,CX5578,46.3507275384558,768.085976807067,SVC,NA,Results,Principal Investigator
3731,2013-08-05,FGS,819 OUTLET,TRUE,CX5579,NA,NA,NA,NA,Collected,Technicianm
3731,2013-08-05,FGS,819 OUTLET,FALSE,CX5580,56.684360518274,932.098613961071,SVC,NA,Results,Principal Investigator
3732,2013-08-05,FGS,844 OUTLET,TRUE,CX5581,26.0554366851405,430.636851065249,NA,NA,Results,Technicianmr
3732,2013-08-05,FGS,844 OUTLET,FALSE,CX5582,NA,NA,NA,NA,Collected,Technicianm
3733,2013-08-05,FGS,626 OUTLET,TRUE,CX5583,19.276921210513,306.395149983438,NA,SVC,Results,Technicianmr
3733,2013-08-05,FGS,626 OUTLET,FALSE,CX5584,20.0934787955675,320.748965899206,AV,NA,Results,Principal Investigator
3734,2013-08-05,FGS,708 OUTLET,TRUE,CX5585,49.900007423472,531.203930773261,NA,NA,Results,Technicianmr
3734,2013-08-05,FGS,708 OUTLET,FALSE,CX5586,29.5916685137406,437.804699134274,AV,NA,Results,Principal Investigator
3735,2013-08-05,FGS,703 OUTLET,TRUE,CX5587,14.7322633296677,247.655417281895,NA,SVC,Results,Technicianmr
3735,2013-08-05,FGS,703 OUTLET,FALSE,CX5588,12.3995894505629,211.663992847237,AV,SVC,Results,Principal Investigator
3736,2013-08-05,FGS,693 OUTLET,TRUE,CX5589,51.8089118630274,446.034823473772,NA,NA,Results,Technicianmr
3736,2013-08-05,FGS,693 OUTLET,FALSE,CX5590,46.9476335644255,401.868657649707,AV,NA,Results,Principal Investigator
3739,2013-08-19,FGS,819 OUTLET,TRUE,CX5591,NA,NA,NA,NA,Collected,Technicianm
3739,2013-08-19,FGS,819 OUTLET,FALSE,CX5592,NA,NA,NA,NA,Collected,Technicianm
3740,2013-08-19,FGS,844 OUTLET,TRUE,CX5593,NA,NA,NA,NA,Collected,Technicianm
3740,2013-08-19,FGS,844 OUTLET,FALSE,CX5594,NA,NA,NA,NA,Collected,Technicianm
3741,2013-08-19,FGS,693 OUTLET,TRUE,CX5595,NA,NA,NA,NA,Collected,Technicianm
3741,2013-08-19,FGS,693 OUTLET,FALSE,CX5596,NA,NA,NA,NA,Collected,Technicianm
3742,2013-08-19,FGS,626 OUTLET,TRUE,CX5597,NA,NA,NA,NA,Collected,Technicianm
3742,2013-08-19,FGS,626 OUTLET,FALSE,CX5598,NA,NA,NA,NA,Collected,Technicianm
3743,2013-08-19,FGS,708 OUTLET,TRUE,CX5599,NA,NA,NA,NA,Collected,Technicianm
3743,2013-08-19,FGS,708 OUTLET,FALSE,CX5600,NA,NA,NA,NA,Collected,Technicianm
3746,2013-08-19,FGS,703 OUTLET,TRUE,CX5601,NA,NA,NA,NA,Collected,Technicianm
3746,2013-08-19,FGS,703 OUTLET,FALSE,CX5602,NA,NA,NA,NA,Collected,Technicianm
3747,2013-08-19,FGS,1015 OUTLET,TRUE,CX5603,NA,NA,NA,NA,Collected,Technicianm
3747,2013-08-19,FGS,1015 OUTLET,FALSE,CX5604,NA,NA,NA,NA,Collected,Technicianm
3752,2013-09-02,FGS,693 OUTLET,TRUE,CF1979,40.8804384288984,455.435725794482,NA,NA,Results,Technicianmr
3752,2013-09-02,FGS,693 OUTLET,FALSE,CF1980,23.0955577986413,256.798110124585,AV,NA,Results,Principal Investigator
3749,2013-09-02,FGS,844 OUTLET,TRUE,CF1981,28.787837337582,344.500158540277,NA,NA,Results,Technicianmr
3749,2013-09-02,FGS,844 OUTLET,FALSE,CF1982,16.2876388363531,197.265931605972,AV,SVC,Results,Principal Investigator
